radionuclide,Route of intake,Aerosols type,Monitoring method,Time (d),m(t),fA
I-131,Inhalation,Type F,Thyroid,1,1.2e-1,
I-131,Inhalation,Type F,Urine,1,2.8e-1,
I-131,Inhalation,Type F,Thyroid,2,1.2e-1,
I-131,Inhalation,Type F,Urine,2,2.3e-2,
I-131,Inhalation,Type F,Thyroid,3,1.1e-1,
I-131,Inhalation,Type F,Urine,3,1.4e-3,
I-131,Inhalation,Type F,Thyroid,4,9.9e-2,
I-131,Inhalation,Type F,Urine,4,1.5e-4,
I-131,Inhalation,Type F,Thyroid,5,9.0e-2,
I-131,Inhalation,Type F,Urine,5,8.9e-5,
I-131,Inhalation,Type F,Thyroid,6,8.2e-2,
I-131,Inhalation,Type F,Urine,6,9.6e-5,
I-131,Inhalation,Type F,Thyroid,7,7.4e-2,
I-131,Inhalation,Type F,Urine,7,1.0e-4,
I-131,Inhalation,Type F,Thyroid,8,6.8e-2,
I-131,Inhalation,Type F,Urine,8,1.1e-4,
I-131,Inhalation,Type F,Thyroid,9,6.2e-2,
I-131,Inhalation,Type F,Urine,9,1.1e-4,
I-131,Inhalation,Type F,Thyroid,10,5.6e-2,
I-131,Inhalation,Type F,Urine,10,1.1e-4,
I-131,Inhalation,Type F,Thyroid,50,6.0e-3,
I-131,Inhalation,Type F,Urine,50,5.8e-5,
I-131,Inhalation,Type F,Thyroid,70,9.9e-4,
I-131,Inhalation,Type F,Urine,70,1.0e-5,
I-131,Inhalation,Type F,Thyroid,100,1.5e-5,
I-131,Inhalation,Type F,Urine,100,1.1e-7,
I-131,Inhalation,Gaseous,Thyroid,1,2.3e-1,
I-131,Inhalation,Gaseous,Urine,1,5.3e-1,
I-131,Inhalation,Gaseous,Thyroid,2,2.2e-1,
I-131,Inhalation,Gaseous,Urine,2,4.3e-2,
I-131,Inhalation,Gaseous,Thyroid,3,2.0e-1,
I-131,Inhalation,Gaseous,Urine,3,2.5e-3,
I-131,Inhalation,Gaseous,Thyroid,4,1.9e-1,
I-131,Inhalation,Gaseous,Urine,4,2.7e-4,
I-131,Inhalation,Gaseous,Thyroid,5,1.7e-1,
I-131,Inhalation,Gaseous,Urine,5,1.7e-4,
I-131,Inhalation,Gaseous,Thyroid,6,1.5e-1,
I-131,Inhalation,Gaseous,Urine,6,1.8e-4,
I-131,Inhalation,Gaseous,Thyroid,7,1.4e-1,
I-131,Inhalation,Gaseous,Urine,7,1.9e-4,
I-131,Inhalation,Gaseous,Thyroid,8,1.3e-1,
I-131,Inhalation,Gaseous,Urine,8,2.0e-4,
I-131,Inhalation,Gaseous,Thyroid,9,1.2e-1,
I-131,Inhalation,Gaseous,Urine,9,2.1e-4,
I-131,Inhalation,Gaseous,Thyroid,10,1.1e-1,
I-131,Inhalation,Gaseous,Urine,10,2.1e-4,
I-131,Inhalation,Gaseous,Thyroid,50,1.3e-2,
I-131,Inhalation,Gaseous,Urine,50,5.9e-5,
I-131,Inhalation,Gaseous,Thyroid,70,1.1e-3,
I-131,Inhalation,Gaseous,Urine,70,1.0e-5,
I-131,Inhalation,Gaseous,Thyroid,100,3.3e-5,
I-131,Inhalation,Gaseous,Urine,100,1.5e-7,
I-131,Ingestion,,Thyroid,1,2.5e-1,
I-131,Ingestion,,Urine,1,5.8e-1,
I-131,Ingestion,,Thyroid,2,2.5e-1,
I-131,Ingestion,,Urine,2,5.1e-2,
I-131,Ingestion,,Thyroid,3,2.2e-1,
I-131,Ingestion,,Urine,3,3.0e-3,
I-131,Ingestion,,Thyroid,4,2.0e-1,
I-131,Ingestion,,Urine,4,3.1e-4,
I-131,Ingestion,,Thyroid,5,1.9e-1,
I-131,Ingestion,,Urine,5,1.8e-4,
I-131,Ingestion,,Thyroid,6,1.7e-1,
I-131,Ingestion,,Urine,6,2.0e-4,
I-131,Ingestion,,Thyroid,7,1.5e-1,
I-131,Ingestion,,Urine,7,2.1e-4,
I-131,Ingestion,,Thyroid,8,1.4e-1,
I-131,Ingestion,,Urine,8,2.2e-4,
I-131,Ingestion,,Thyroid,9,1.3e-1,
I-131,Ingestion,,Urine,9,2.3e-4,
I-131,Ingestion,,Thyroid,10,1.2e-1,
I-131,Ingestion,,Urine,10,2.3e-4,
I-131,Ingestion,,Thyroid,50,1.1e-2,
I-131,Ingestion,,Urine,50,1.0e-4,
I-131,Ingestion,,Thyroid,70,1.1e-3,
I-131,Ingestion,,Urine,70,1.0e-5,
I-131,Ingestion,,Thyroid,100,4.5e-5,
I-131,Ingestion,,Urine,100,1.0e-7,
I-131,Injection,,Thyroid,1,2.6e-1,
I-131,Injection,,Urine,1,5.9e-1,
I-131,Injection,,Thyroid,2,2.5e-1,
I-131,Injection,,Urine,2,4.5e-2,
I-131,Injection,,Thyroid,3,2.3e-1,
I-131,Injection,,Urine,3,2.7e-3,
I-131,Injection,,Thyroid,4,2.1e-1,
I-131,Injection,,Urine,4,2.9e-4,
I-131,Injection,,Thyroid,5,1.9e-1,
I-131,Injection,,Urine,5,1.9e-4,
I-131,Injection,,Thyroid,6,1.7e-1,
I-131,Injection,,Urine,6,2.0e-4,
I-131,Injection,,Thyroid,7,1.6e-1,
I-131,Injection,,Urine,7,2.2e-4,
I-131,Injection,,Thyroid,8,1.4e-1,
I-131,Injection,,Urine,8,2.3e-4,
I-131,Injection,,Thyroid,9,1.3e-1,
I-131,Injection,,Urine,9,2.3e-4,
I-131,Injection,,Thyroid,10,1.2e-1,
I-131,Injection,,Urine,10,2.3e-4,
I-131,Injection,,Thyroid,50,1.2e-2,
I-131,Injection,,Urine,50,9.5e-5,
I-131,Injection,,Thyroid,70,1.1e-3,
I-131,Injection,,Urine,70,1.0e-5,
I-131,Injection,,Thyroid,100,4.2e-5,
I-131,Injection,,Urine,100,1.5e-7,
