stage,d_um,compound,aerosol_type,nuclide,amad_used,e_sv_per_bq,conc_contrib,dose_sv,total_dose
A,32.63433774416144,PuO2,Unspecified,Pu-239,5.00,1.7e-05,0.04615384615384615,6.718818461538463e-07,5.06280917015356e-06
A,32.63433774416144,Pu_nitrate,Unspecified,Pu-238,5.00,1.2e-05,0.015384615384615384,1.5808984615384618e-07,5.06280917015356e-06
B,17.75499929597295,PuO2,Unspecified,Pu-239,5.00,1.7e-05,0.06762295081967214,9.844170491803282e-07,5.06280917015356e-06
B,17.75499929597295,Pu_nitrate,Unspecified,Pu-238,5.00,1.2e-05,0.022540983606557378,2.3162754098360657e-07,5.06280917015356e-06
C,12.043255373859678,PuO2,Unspecified,Pu-239,5.00,1.7e-05,0.075,1.091808e-06,5.06280917015356e-06
C,12.043255373859678,Pu_nitrate,Unspecified,Pu-238,5.00,1.2e-05,0.024999999999999998,2.56896e-07,5.06280917015356e-06
D,7.6681158050723255,PuO2,Unspecified,Pu-239,5.00,1.7e-05,0.04719101123595506,6.869803146067417e-07,5.06280917015356e-06
D,7.6681158050723255,Pu_nitrate,Unspecified,Pu-238,5.00,1.2e-05,0.015730337078651686,1.6164242696629216e-07,5.06280917015356e-06
E,4.58257569495584,PuO2,Unspecified,Pu-239,5.00,1.7e-05,0.01618421052631579,2.3560067368421058e-07,5.06280917015356e-06
E,4.58257569495584,Pu_nitrate,Unspecified,Pu-238,5.00,1.2e-05,0.005394736842105264,5.5435452631578965e-08,5.06280917015356e-06
F,2.3664319132398464,PuO2,Unspecified,Pu-239,5.00,1.7e-05,0.0109375,1.5922200000000002e-07,5.06280917015356e-06
F,2.3664319132398464,Pu_nitrate,Unspecified,Pu-238,5.00,1.2e-05,0.0036458333333333334,3.746400000000001e-08,5.06280917015356e-06
G,1.2000000000000002,PuO2,Unspecified,Pu-239,5.00,1.7e-05,0.005257731958762887,7.65391175257732e-08,5.06280917015356e-06
G,1.2000000000000002,Pu_nitrate,Unspecified,Pu-238,5.00,1.2e-05,0.0017525773195876289,1.8009204123711344e-08,5.06280917015356e-06
H,0.6708203932499369,PuO2,Unspecified,Pu-239,5.00,1.7e-05,0.0031060606060606065,4.521629090909092e-08,5.06280917015356e-06
H,0.6708203932499369,Pu_nitrate,Unspecified,Pu-238,5.00,1.2e-05,0.0010353535353535355,1.0639127272727274e-08,5.06280917015356e-06
Filter,0.22360679774997896,PuO2,Unspecified,Pu-239,5.00,1.7e-05,0.009899999999999999,1.467992742547956e-07,5.06280917015356e-06
Filter,0.22360679774997896,Pu_nitrate,Unspecified,Pu-238,5.00,1.2e-05,0.0033,3.454100570701073e-08,5.06280917015356e-06
A,32.63433774416144,PuO2,Unspecified,Pu-239,13.89,7.3314550788150125e-06,0.04615384615384615,2.8975715137342486e-07,2.0673796666955763e-06
A,32.63433774416144,Pu_nitrate,Unspecified,Pu-238,13.89,3.731455078815013e-06,0.015384615384615384,4.9158763278321114e-08,2.0673796666955763e-06
B,17.75499929597295,PuO2,Unspecified,Pu-239,13.89,7.3314550788150125e-06,0.06762295081967214,4.2454172793442375e-07,2.0673796666955763e-06
B,17.75499929597295,Pu_nitrate,Unspecified,Pu-238,13.89,3.731455078815013e-06,0.022540983606557378,7.202564701639263e-08,2.0673796666955763e-06
C,12.043255373859678,PuO2,Unspecified,Pu-239,13.89,7.3314550788150125e-06,0.075,4.708553709818154e-07,2.0673796666955763e-06
C,12.043255373859678,Pu_nitrate,Unspecified,Pu-238,13.89,3.731455078815013e-06,0.024999999999999998,7.98829903272718e-08,2.0673796666955763e-06
D,7.6681158050723255,PuO2,Unspecified,Pu-239,13.89,7.3314550788150125e-06,0.04719101123595506,2.9626854803350187e-07,2.0673796666955763e-06
D,7.6681158050723255,Pu_nitrate,Unspecified,Pu-238,13.89,3.731455078815013e-06,0.015730337078651686,5.026345458794631e-08,2.0673796666955763e-06
E,4.58257569495584,PuO2,Unspecified,Pu-239,13.89,7.3314550788150125e-06,0.01618421052631579,1.0160563268554965e-07,2.0673796666955763e-06
E,4.58257569495584,Pu_nitrate,Unspecified,Pu-238,13.89,3.731455078815013e-06,0.005394736842105264,1.7237908439042865e-08,2.0673796666955763e-06
