stage,d_um,compound,aerosol_type,nuclide,amad_used,e_sv_per_bq,conc_contrib,dose_sv,total_dose
F,2.3664319132398464,PuO2,Unspecified,Pu-239,13.89,7.3314550788150125e-06,0.0109375,6.86664082681814e-08,2.0673796666955763e-06
F,2.3664319132398464,Pu_nitrate,Unspecified,Pu-238,13.89,3.731455078815013e-06,0.0036458333333333334,1.1649602756060473e-08,2.0673796666955763e-06
G,1.2000000000000002,PuO2,Unspecified,Pu-239,13.89,7.3314550788150125e-06,0.005257731958762887,3.3008417759549946e-08,2.0673796666955763e-06
G,1.2000000000000002,Pu_nitrate,Unspecified,Pu-238,13.89,3.731455078815013e-06,0.0017525773195876289,5.600044682736581e-09,2.0673796666955763e-06
H,0.6708203932499369,PuO2,Unspecified,Pu-239,13.89,7.3314550788150125e-06,0.0031060606060606065,1.9500070919448926e-08,2.0673796666955763e-06
H,0.6708203932499369,Pu_nitrate,Unspecified,Pu-238,13.89,3.731455078815013e-06,0.0010353535353535355,3.308285457998126e-09,2.0673796666955763e-06
Filter,0.22360679774997896,PuO2,Unspecified,Pu-239,13.89,7.3314550788150125e-06,0.009899999999999999,6.330895792951052e-08,2.0673796666955763e-06
Filter,0.22360679774997896,Pu_nitrate,Unspecified,Pu-238,13.89,3.731455078815013e-06,0.0033,1.0740684264400292e-08,2.0673796666955763e-06
A,32.63433774416144,PuO2,Unspecified,Pu-239,粗峰14.22(w=0.926)+细峰2.23(w=0.074),1.3287551771626748e-05,0.04615384615384615,3.209264021911786e-07,2.7949152115128424e-06
A,32.63433774416144,Pu_nitrate,Unspecified,Pu-238,粗峰14.22(w=0.926)+细峰2.23(w=0.074),1.143240109210815e-05,0.015384615384615384,6.294137130700637e-08,2.7949152115128424e-06
B,17.75499929597295,PuO2,Unspecified,Pu-239,粗峰14.22(w=0.968)+细峰2.23(w=0.032),1.3287551771626748e-05,0.06762295081967214,4.4087698243192335e-07,2.7949152115128424e-06
B,17.75499929597295,Pu_nitrate,Unspecified,Pu-238,粗峰14.22(w=0.968)+细峰2.23(w=0.032),1.143240109210815e-05,0.022540983606557378,7.96276069937976e-08,2.7949152115128424e-06
C,12.043255373859678,PuO2,Unspecified,Pu-239,粗峰14.22(w=0.960)+细峰2.23(w=0.040),1.3287551771626748e-05,0.075,4.952579023965224e-07,2.7949152115128424e-06
C,12.043255373859678,Pu_nitrate,Unspecified,Pu-238,粗峰14.22(w=0.960)+细峰2.23(w=0.040),1.143240109210815e-05,0.024999999999999998,9.101235090711451e-08,2.7949152115128424e-06
D,7.6681158050723255,PuO2,Unspecified,Pu-239,粗峰14.22(w=0.893)+细峰2.23(w=0.107),1.3287551771626748e-05,0.04719101123595506,3.4416249801562494e-07,2.7949152115128424e-06
D,7.6681158050723255,Pu_nitrate,Unspecified,Pu-238,粗峰14.22(w=0.893)+细峰2.23(w=0.107),1.143240109210815e-05,0.015730337078651686,7.123458982099904e-08,2.7949152115128424e-06
E,4.58257569495584,PuO2,Unspecified,Pu-239,粗峰14.22(w=0.478)+细峰2.23(w=0.522),1.3287551771626748e-05,0.01618421052631579,1.8790410371242333e-07,2.7949152115128424e-06
E,4.58257569495584,Pu_nitrate,Unspecified,Pu-238,粗峰14.22(w=0.478)+细峰2.23(w=0.522),1.143240109210815e-05,0.005394736842105264,5.442474570746028e-08,2.7949152115128424e-06
F,2.3664319132398464,PuO2,Unspecified,Pu-239,粗峰14.22(w=0.011)+细峰2.23(w=0.989),1.3287551771626748e-05,0.0109375,1.8001716139186422e-07,2.7949152115128424e-06
F,2.3664319132398464,Pu_nitrate,Unspecified,Pu-238,粗峰14.22(w=0.011)+细峰2.23(w=0.989),1.143240109210815e-05,0.0036458333333333334,5.954499067261566e-08,2.7949152115128424e-06
G,1.2000000000000002,PuO2,Unspecified,Pu-239,粗峰14.22(w=0.000)+细峰2.23(w=1.000),1.3287551771626748e-05,0.005257731958762887,8.711760344486347e-08,2.7949152115128424e-06
G,1.2000000000000002,Pu_nitrate,Unspecified,Pu-238,粗峰14.22(w=0.000)+细峰2.23(w=1.000),1.143240109210815e-05,0.0017525773195876289,2.8873573137675118e-08,2.7949152115128424e-06
H,0.6708203932499369,PuO2,Unspecified,Pu-239,粗峰14.22(w=0.000)+细峰2.23(w=1.000),1.3287551771626748e-05,0.0031060606060606065,5.1466205138183176e-08,2.7949152115128424e-06
H,0.6708203932499369,Pu_nitrate,Unspecified,Pu-238,粗峰14.22(w=0.000)+细峰2.23(w=1.000),1.143240109210815e-05,0.0010353535353535355,1.7057609147519236e-08,2.7949152115128424e-06
Filter,0.22360679774997896,PuO2,Unspecified,Pu-239,粗峰14.22(w=0.000)+细峰2.23(w=1.000),1.3287551771626748e-05,0.009899999999999999,1.6709025631405297e-07,2.7949152115128424e-06
Filter,0.22360679774997896,Pu_nitrate,Unspecified,Pu-238,粗峰14.22(w=0.000)+细峰2.23(w=1.000),1.143240109210815e-05,0.0033,5.5379258782018105e-08,2.7949152115128424e-06
A,32.63433774416144,PuO2,Unspecified,Pu-239,16.22,6.637067327484578e-06,0.04615384615384615,2.62313238178689e-07,1.8441699730398288e-06
A,32.63433774416144,Pu_nitrate,Unspecified,Pu-238,16.22,3.037067327484579e-06,0.015384615384615384,4.001079221340915e-08,1.8441699730398288e-06
B,17.75499929597295,PuO2,Unspecified,Pu-239,16.22,6.637067327484578e-06,0.06762295081967214,3.843318961019726e-07,1.8441699730398288e-06
B,17.75499929597295,Pu_nitrate,Unspecified,Pu-238,16.22,3.037067327484579e-06,0.022540983606557378,5.862236973890891e-08,1.8441699730398288e-06
C,12.043255373859678,PuO2,Unspecified,Pu-239,16.22,6.637067327484578e-06,0.075,4.2625901204036956e-07,1.8441699730398288e-06
C,12.043255373859678,Pu_nitrate,Unspecified,Pu-238,16.22,3.037067327484579e-06,0.024999999999999998,6.501753734678987e-08,1.8441699730398288e-06
D,7.6681158050723255,PuO2,Unspecified,Pu-239,16.22,6.637067327484578e-06,0.04719101123595506,2.682079176883225e-07,1.8441699730398288e-06
D,7.6681158050723255,Pu_nitrate,Unspecified,Pu-238,16.22,3.037067327484579e-06,0.015730337078651686,4.0909911139553186e-08,1.8441699730398288e-06
E,4.58257569495584,PuO2,Unspecified,Pu-239,16.22,6.637067327484578e-06,0.01618421052631579,9.198220786134293e-08,1.8441699730398288e-06
E,4.58257569495584,Pu_nitrate,Unspecified,Pu-238,16.22,3.037067327484579e-06,0.005394736842105264,1.4030100164307292e-08,1.8441699730398288e-06
F,2.3664319132398464,PuO2,Unspecified,Pu-239,16.22,6.637067327484578e-06,0.0109375,6.216277258922057e-08,1.8441699730398288e-06
F,2.3664319132398464,Pu_nitrate,Unspecified,Pu-238,16.22,3.037067327484579e-06,0.0036458333333333334,9.481724196406858e-09,1.8441699730398288e-06
G,1.2000000000000002,PuO2,Unspecified,Pu-239,16.22,6.637067327484578e-06,0.005257731958762887,2.988207507087127e-08,1.8441699730398288e-06
G,1.2000000000000002,Pu_nitrate,Unspecified,Pu-238,16.22,3.037067327484579e-06,0.0017525773195876289,4.557930453177022e-09,1.8441699730398288e-06
H,0.6708203932499369,PuO2,Unspecified,Pu-239,16.22,6.637067327484578e-06,0.0031060606060606065,1.7653151003692075e-08,1.8441699730398288e-06
H,0.6708203932499369,Pu_nitrate,Unspecified,Pu-238,16.22,3.037067327484579e-06,0.0010353535353535355,2.692645486079177e-09,1.8441699730398288e-06
Filter,0.22360679774997896,PuO2,Unspecified,Pu-239,16.22,6.637067327484578e-06,0.009899999999999999,5.7312745109114804e-08,1.8441699730398288e-06
Filter,0.22360679774997896,Pu_nitrate,Unspecified,Pu-238,16.22,3.037067327484579e-06,0.0033,8.741946657601722e-09,1.8441699730398288e-06
A,32.63433774416144,PuO2,Unspecified,Pu-239,32.63,3.6e-06,0.04615384615384615,1.4228086153846155e-07,3.2587027469380257e-06
A,32.63433774416144,Pu_nitrate,Unspecified,Pu-238,32.63,3.2e-06,0.015384615384615384,4.215729230769231e-08,3.2587027469380257e-06
B,17.75499929597295,PuO2,Unspecified,Pu-239,17.75,6.232501560226725e-06,0.06762295081967214,3.6090475264295194e-07,3.2587027469380257e-06
B,17.75499929597295,Pu_nitrate,Unspecified,Pu-238,17.75,2.6325015602267257e-06,0.022540983606557378,5.0813321919235345e-08,3.2587027469380257e-06
C,12.043255373859678,PuO2,Unspecified,Pu-239,12.04,7.9685012131982e-06,0.075,5.117690219164412e-07,3.2587027469380257e-06
C,12.043255373859678,Pu_nitrate,Unspecified,Pu-238,12.04,4.368501213198201e-06,0.024999999999999998,9.352087397214711e-08,3.2587027469380257e-06
D,7.6681158050723255,PuO2,Unspecified,Pu-239,7.67,1.3e-05,0.04719101123595506,5.253378876404495e-07,3.2587027469380257e-06
D,7.6681158050723255,Pu_nitrate,Unspecified,Pu-238,7.67,9.892254102137331e-06,0.015730337078651686,1.3325066343639482e-07,3.2587027469380257e-06
E,4.58257569495584,PuO2,Unspecified,Pu-239,4.58,2.007185155030876e-05,0.01618421052631579,2.781730439613065e-07,3.2587027469380257e-06
E,4.58257569495584,Pu_nitrate,Unspecified,Pu-238,4.58,1.5413168389231957e-05,0.005394736842105264,7.120299717865153e-08,3.2587027469380257e-06
F,2.3664319132398464,PuO2,Unspecified,Pu-239,2.37,1.9079675661033976e-05,0.0109375,1.787002422412442e-07,3.2587027469380257e-06
F,2.3664319132398464,Pu_nitrate,Unspecified,Pu-238,2.37,1.859122158648154e-05,0.0036458333333333334,5.8041793792995377e-08,3.2587027469380257e-06
G,1.2000000000000002,PuO2,Unspecified,Pu-239,1.20,2.2170218835732348e-05,0.005257731958762887,9.981699912001347e-08,3.2587027469380257e-06
G,1.2000000000000002,Pu_nitrate,Unspecified,Pu-238,1.20,2.6008525205757634e-05,0.0017525773195876289,3.90327366155984e-08,3.2587027469380257e-06
H,0.6708203932499369,PuO2,Unspecified,Pu-239,0.67,3.066322735310025e-05,0.0031060606060606065,8.155749460055145e-08,3.2587027469380257e-06
H,0.6708203932499369,Pu_nitrate,Unspecified,Pu-238,0.67,2.2989682059300738e-05,0.0010353535353535355,2.038251278236962e-08,3.2587027469380257e-06
Filter,0.22360679774997896,PuO2,Unspecified,Pu-239,0.22,5.6719788165743415e-05,0.009899999999999999,4.897896316833457e-07,3.2587027469380257e-06
Filter,0.22360679774997896,Pu_nitrate,Unspecified,Pu-238,0.22,2.8477672115333473e-05,0.0033,8.197061958817614e-08,3.2587027469380257e-06
