radionuclide,route_of_intake,material,fA,amad_um,time_days,alimentary_tract,faeces_24h,liver,lungs,skeleton,urine_24h,whole_body
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,0.041667,3.2e-08,,0.00031,,0.00025,,3.2e-08
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,0.083333,3.2e-08,,0.00015,,7.6e-05,,3.2e-08
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,0.125,3.2e-08,,0.00011,,4.2e-05,,3.2e-08
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,0.25,3.2e-08,,9.6e-05,,1.9e-05,,3.2e-08
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,0.375,3.3e-08,,9.6e-05,,1.4e-05,,3.2e-08
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,0.5,3.3e-08,,9.8e-05,,1.3e-05,,3.3e-08
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,0.625,3.5e-08,,0.0001,,1.2e-05,,3.4e-08
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,0.75,3.6e-08,,0.0001,,1.1e-05,,3.6e-08
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,0.875,3.9e-08,,0.0001,,1.1e-05,,3.8e-08
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,1.0,4.1e-08,1.5e-07,0.00011,,1.1e-05,2.5e-06,4.1e-08
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,1.125,4.5e-08,,0.00011,,1.1e-05,,4.5e-08
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,1.25,5e-08,,0.00011,,1.1e-05,,4.9e-08
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,1.375,5.5e-08,,0.00011,,1.1e-05,,5.4e-08
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,1.5,6.2e-08,,0.00011,,1.1e-05,,6.1e-08
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,1.625,7e-08,,0.00011,,1.1e-05,,6.9e-08
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,1.75,7.9e-08,,0.00011,,1.1e-05,,7.8e-08
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,1.875,9e-08,,0.00011,,1.1e-05,,8.9e-08
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,2.0,1e-07,6.9e-08,0.00012,,1.2e-05,4.5e-05,1e-07
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,2.25,1.4e-07,,0.00012,,1.2e-05,,1.4e-07
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,2.5,1.9e-07,,0.00012,,1.2e-05,,1.8e-07
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,2.75,2.7e-07,,0.00012,,1.2e-05,,2.5e-07
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,3.0,3.8e-07,1.4e-07,0.00013,,1.2e-05,8.6e-05,3.5e-07
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,3.25,5.4e-07,,0.00013,,1.2e-05,,4.9e-07
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,3.5,7.7e-07,,0.00013,,1.2e-05,,6.7e-07
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,3.75,1.1e-06,,0.00013,,1.2e-05,,9.2e-07
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,4.0,1.6e-06,4.9e-07,0.00014,,1.3e-05,9.6e-05,1.3e-06
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,4.25,2.4e-06,,0.00014,,1.3e-05,,1.7e-06
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,4.5,3.5e-06,,0.00014,,1.3e-05,,2.2e-06
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,4.75,5.3e-06,,0.00014,,1.3e-05,,2.7e-06
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,5.0,7.9e-06,2.1e-06,0.00015,,1.3e-05,0.00011,3.3e-06
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,5.5,1.8e-05,,0.00015,,1.3e-05,,4.4e-06
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,6.0,4e-05,9.8e-06,0.00016,,1.4e-05,0.00012,5.2e-06
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,6.5,8.9e-05,,0.00017,,1.4e-05,,5.7e-06
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,7.0,0.00019,5e-05,0.00017,,1.4e-05,0.00013,6.1e-06
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,7.5,0.00037,,0.00018,,1.4e-05,,6.3e-06
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,8.0,0.00062,0.00027,0.00019,,1.4e-05,0.00014,6.5e-06
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,8.5,0.00087,,0.00019,,1.5e-05,,6.7e-06
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,9.0,0.0011,0.0015,0.0002,,1.5e-05,0.00015,6.8e-06
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,9.5,0.0012,,0.00021,,1.5e-05,,7e-06
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,10.0,0.0012,0.0075,0.00021,,1.5e-05,0.00017,7.1e-06
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,11.0,0.0013,0.025,0.00023,,1.6e-05,0.00018,7.4e-06
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,12.0,0.0014,0.045,0.00025,,1.6e-05,0.0002,7.7e-06
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,13.0,0.0014,0.054,0.00027,,1.6e-05,0.00021,8e-06
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,14.0,0.0015,0.06,0.00028,,1.7e-05,0.00023,8.3e-06
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,15.0,0.0015,0.065,0.0003,,1.7e-05,0.00025,8.6e-06
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,16.0,0.0016,0.07,0.00032,,1.7e-05,0.00027,8.8e-06
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,17.0,0.0016,0.075,0.00034,,1.7e-05,0.00029,9.1e-06
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,18.0,0.0016,0.079,0.00036,,1.8e-05,0.00031,9.4e-06
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,19.0,0.0017,0.084,0.00039,,1.8e-05,0.00033,9.7e-06
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,20.0,0.0017,0.089,0.00041,,1.8e-05,0.00036,9.9e-06
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,21.0,0.0018,0.095,0.00043,,1.8e-05,0.00038,1e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,22.0,0.0018,0.1,0.00046,,1.8e-05,0.00041,1e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,23.0,0.0019,0.1,0.00048,,1.9e-05,0.00044,1.1e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,24.0,0.002,0.11,0.0005,,1.9e-05,0.00046,1.1e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,25.0,0.002,0.12,0.00053,,1.9e-05,0.00049,1.1e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,26.0,0.0021,0.12,0.00055,,1.9e-05,0.00052,1.1e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,27.0,0.0021,0.13,0.00058,,1.9e-05,0.00056,1.2e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,28.0,0.0022,0.13,0.0006,,1.9e-05,0.00059,1.2e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,29.0,0.0022,0.14,0.00063,,2e-05,0.00062,1.2e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,30.0,0.0023,0.14,0.00065,,2e-05,0.00066,1.2e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,31.0,0.0024,0.15,0.00067,,2e-05,0.00069,1.3e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,32.0,0.0024,0.15,0.0007,,2e-05,0.00073,1.3e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,33.0,0.0025,0.16,0.00072,,2e-05,0.00077,1.3e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,34.0,0.0026,0.16,0.00074,,2e-05,0.00081,1.3e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,35.0,0.0026,0.17,0.00076,,2e-05,0.00085,1.4e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,36.0,0.0027,0.17,0.00078,,2e-05,0.00089,1.4e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,37.0,0.0028,0.18,0.0008,,2.1e-05,0.00093,1.4e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,38.0,0.0029,0.19,0.00082,,2.1e-05,0.00097,1.4e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,39.0,0.0029,0.19,0.00084,,2.1e-05,0.001,1.4e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,40.0,0.003,0.2,0.00086,,2.1e-05,0.0011,1.5e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,41.0,0.0031,0.2,0.00087,,2.1e-05,0.0011,1.5e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,42.0,0.0032,0.21,0.00089,,2.1e-05,0.0011,1.5e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,43.0,0.0032,0.21,0.00091,,2.1e-05,0.0012,1.5e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,44.0,0.0033,0.22,0.00092,,2.1e-05,0.0012,1.5e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,45.0,0.0034,0.23,0.00093,,2.2e-05,0.0013,1.6e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,46.0,0.0035,0.23,0.00095,,2.2e-05,0.0013,1.6e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,47.0,0.0036,0.24,0.00096,,2.2e-05,0.0014,1.6e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,48.0,0.0037,0.24,0.00097,,2.2e-05,0.0014,1.6e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,49.0,0.0038,0.25,0.00098,,2.2e-05,0.0015,1.6e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,50.0,0.0039,0.26,0.00099,,2.2e-05,0.0015,1.6e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,51.0,0.0039,0.26,0.001,,2.2e-05,0.0015,1.7e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,52.0,0.004,0.27,0.001,,2.2e-05,0.0016,1.7e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,53.0,0.0041,0.27,0.001,,2.3e-05,0.0016,1.7e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,54.0,0.0042,0.28,0.001,,2.3e-05,0.0017,1.7e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,55.0,0.0043,0.29,0.001,,2.3e-05,0.0017,1.7e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,56.0,0.0044,0.29,0.001,,2.3e-05,0.0018,1.7e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,57.0,0.0045,0.3,0.0011,,2.3e-05,0.0018,1.8e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,58.0,0.0047,0.31,0.0011,,2.3e-05,0.0019,1.8e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,59.0,0.0048,0.31,0.0011,,2.3e-05,0.0019,1.8e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,60.0,0.0049,0.32,0.0011,,2.3e-05,0.002,1.8e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,61.0,0.005,0.33,0.0011,,2.4e-05,0.002,1.8e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,62.0,0.0051,0.33,0.0011,,2.4e-05,0.0021,1.8e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,63.0,0.0052,0.34,0.0011,,2.4e-05,0.0021,1.9e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,64.0,0.0053,0.35,0.0011,,2.4e-05,0.0022,1.9e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,65.0,0.0054,0.36,0.0011,,2.4e-05,0.0022,1.9e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,66.0,0.0056,0.36,0.0011,,2.4e-05,0.0023,1.9e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,67.0,0.0057,0.37,0.0011,,2.4e-05,0.0024,1.9e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,68.0,0.0058,0.38,0.0011,,2.4e-05,0.0024,1.9e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,69.0,0.0059,0.39,0.0011,,2.5e-05,0.0025,2e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,70.0,0.006,0.39,0.0011,,2.5e-05,0.0025,2e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,71.0,0.0062,0.4,0.0011,,2.5e-05,0.0026,2e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,72.0,0.0063,0.41,0.0011,,2.5e-05,0.0026,2e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,73.0,0.0064,0.42,0.0011,,2.5e-05,0.0027,2e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,74.0,0.0065,0.43,0.0011,,2.5e-05,0.0028,2e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,75.0,0.0067,0.44,0.0011,,2.5e-05,0.0028,2e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,76.0,0.0068,0.44,0.0011,,2.5e-05,0.0029,2.1e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,77.0,0.0069,0.45,0.0011,,2.6e-05,0.0029,2.1e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,78.0,0.0071,0.46,0.0011,,2.6e-05,0.003,2.1e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,79.0,0.0072,0.47,0.0011,,2.6e-05,0.003,2.1e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,80.0,0.0073,0.48,0.0011,,2.6e-05,0.0031,2.1e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,81.0,0.0075,0.49,0.0011,,2.6e-05,0.0032,2.1e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,82.0,0.0076,0.5,0.0011,,2.6e-05,0.0032,2.2e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,83.0,0.0077,0.51,0.0011,,2.6e-05,0.0033,2.2e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,84.0,0.0079,0.52,0.0011,,2.6e-05,0.0034,2.2e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,85.0,0.008,0.53,0.0011,,2.7e-05,0.0034,2.2e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,86.0,0.0081,0.54,0.0012,,2.7e-05,0.0035,2.2e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,87.0,0.0083,0.55,0.0012,,2.7e-05,0.0036,2.2e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,88.0,0.0084,0.56,0.0012,,2.7e-05,0.0036,2.2e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,89.0,0.0086,0.57,0.0012,,2.7e-05,0.0037,2.2e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,90.0,0.0087,0.58,0.0012,,2.7e-05,0.0038,2.3e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,91.0,0.0088,0.59,0.0012,,2.7e-05,0.0038,2.3e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,92.0,0.009,0.6,0.0012,,2.7e-05,0.0039,2.3e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,93.0,0.0091,0.61,0.0012,,2.8e-05,0.004,2.3e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,94.0,0.0092,0.62,0.0012,,2.8e-05,0.0041,2.3e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,95.0,0.0094,0.63,0.0012,,2.8e-05,0.0041,2.3e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,96.0,0.0095,0.64,0.0012,,2.8e-05,0.0042,2.3e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,97.0,0.0097,0.65,0.0012,,2.8e-05,0.0043,2.4e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,98.0,0.0098,0.66,0.0012,,2.8e-05,0.0044,2.4e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,99.0,0.0099,0.68,0.0012,,2.8e-05,0.0044,2.4e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,100.0,0.01,0.69,0.0012,,2.8e-05,0.0045,2.4e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,110.0,0.011,0.81,0.0012,,2.9e-05,0.0053,2.5e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,120.0,0.013,0.95,0.0012,,3.1e-05,0.0063,2.6e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,130.0,0.014,1.1,0.0012,,3.2e-05,0.0073,2.7e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,140.0,0.015,1.3,0.0012,,3.3e-05,0.0085,2.8e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,150.0,0.016,1.5,0.0012,,3.4e-05,0.0098,2.9e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,160.0,0.017,1.7,0.0012,,3.5e-05,0.011,3e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,170.0,0.017,1.9,0.0012,,3.5e-05,0.013,3.1e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,180.0,0.018,2.2,0.0012,,3.6e-05,0.014,3.2e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,190.0,0.018,2.5,0.0012,,3.7e-05,0.016,3.2e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,200.0,0.019,2.8,0.0012,,3.8e-05,0.018,3.3e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,210.0,0.019,3.1,0.0012,,3.8e-05,0.021,3.3e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,220.0,0.019,3.5,0.0012,,3.9e-05,0.023,3.4e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,230.0,0.019,3.9,0.0012,,4e-05,0.026,3.4e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,240.0,0.02,4.4,0.0012,,4e-05,0.029,3.5e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,250.0,0.02,4.8,0.0012,,4.1e-05,0.032,3.5e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,260.0,0.02,5.4,0.0012,,4.1e-05,0.035,3.6e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,270.0,0.02,5.9,0.0012,,4.2e-05,0.039,3.6e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,280.0,0.02,6.5,0.0012,,4.2e-05,0.043,3.6e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,290.0,0.02,7.1,0.0013,,4.2e-05,0.047,3.7e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,300.0,0.02,7.7,0.0013,,4.3e-05,0.051,3.7e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,310.0,0.02,8.4,0.0013,,4.3e-05,0.055,3.7e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,320.0,0.02,9.1,0.0013,,4.3e-05,0.06,3.7e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,330.0,0.02,9.8,0.0013,,4.4e-05,0.065,3.8e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,340.0,0.021,10.0,0.0013,,4.4e-05,0.07,3.8e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,350.0,0.021,11.0,0.0013,,4.4e-05,0.074,3.8e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,360.0,0.021,12.0,0.0013,,4.4e-05,0.079,3.8e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,365.0,0.021,12.0,0.0013,,4.4e-05,0.082,3.8e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,370.0,0.021,13.0,0.0013,,4.5e-05,0.084,3.8e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,380.0,0.021,13.0,0.0013,,4.5e-05,0.089,3.9e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,390.0,0.021,14.0,0.0013,,4.5e-05,0.094,3.9e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,400.0,0.021,15.0,0.0013,,4.5e-05,0.099,3.9e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,410.0,0.021,16.0,0.0013,,4.5e-05,0.1,3.9e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,420.0,0.021,16.0,0.0013,,4.6e-05,0.11,3.9e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,430.0,0.021,17.0,0.0013,,4.6e-05,0.11,3.9e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,440.0,0.021,18.0,0.0013,,4.6e-05,0.12,3.9e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,450.0,0.021,18.0,0.0013,,4.6e-05,0.12,4e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,460.0,0.021,19.0,0.0013,,4.6e-05,0.12,4e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,470.0,0.021,19.0,0.0013,,4.6e-05,0.13,4e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,480.0,0.021,20.0,0.0013,,4.7e-05,0.13,4e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,490.0,0.021,20.0,0.0013,,4.7e-05,0.13,4e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,500.0,0.021,21.0,0.0013,,4.7e-05,0.14,4e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,510.0,0.021,21.0,0.0013,,4.7e-05,0.14,4e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,520.0,0.021,22.0,0.0013,,4.7e-05,0.14,4e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,530.0,0.021,22.0,0.0013,,4.7e-05,0.15,4.1e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,540.0,0.021,22.0,0.0013,,4.7e-05,0.15,4.1e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,550.0,0.021,23.0,0.0013,,4.8e-05,0.15,4.1e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,560.0,0.021,23.0,0.0013,,4.8e-05,0.15,4.1e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,570.0,0.021,23.0,0.0013,,4.8e-05,0.15,4.1e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,580.0,0.021,23.0,0.0013,,4.8e-05,0.16,4.1e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,590.0,0.021,24.0,0.0013,,4.8e-05,0.16,4.1e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,600.0,0.021,24.0,0.0013,,4.8e-05,0.16,4.1e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,610.0,0.021,24.0,0.0013,,4.8e-05,0.16,4.1e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,620.0,0.021,24.0,0.0013,,4.9e-05,0.16,4.2e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,630.0,0.021,25.0,0.0013,,4.9e-05,0.16,4.2e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,640.0,0.021,25.0,0.0013,,4.9e-05,0.16,4.2e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,650.0,0.021,25.0,0.0013,,4.9e-05,0.17,4.2e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,660.0,0.021,25.0,0.0013,,4.9e-05,0.17,4.2e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,670.0,0.021,25.0,0.0013,,4.9e-05,0.17,4.2e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,680.0,0.021,26.0,0.0013,,4.9e-05,0.17,4.2e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,690.0,0.021,26.0,0.0013,,5e-05,0.17,4.2e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,700.0,0.021,26.0,0.0013,,5e-05,0.17,4.2e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,710.0,0.021,26.0,0.0014,,5e-05,0.17,4.3e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,720.0,0.021,26.0,0.0014,,5e-05,0.17,4.3e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,730.0,0.021,26.0,0.0014,,5e-05,0.17,4.3e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,740.0,0.021,26.0,0.0014,,5e-05,0.18,4.3e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,750.0,0.021,27.0,0.0014,,5e-05,0.18,4.3e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,760.0,0.021,27.0,0.0014,,5.1e-05,0.18,4.3e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,770.0,0.021,27.0,0.0014,,5.1e-05,0.18,4.3e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,780.0,0.021,27.0,0.0014,,5.1e-05,0.18,4.3e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,790.0,0.021,27.0,0.0014,,5.1e-05,0.18,4.3e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,800.0,0.021,27.0,0.0014,,5.1e-05,0.18,4.3e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,810.0,0.021,27.0,0.0014,,5.1e-05,0.18,4.4e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,820.0,0.021,27.0,0.0014,,5.1e-05,0.18,4.4e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,830.0,0.021,28.0,0.0014,,5.1e-05,0.18,4.4e-05
