Radionuclide	U-238
Route of Intake	Ingestion
Material	Soluble forms, fA=2E-2
AMTD/AMAD, µm	-

Committed Effective Dose per Predicted Content in an Organ or Excreta Sample (Dose per Content Functions z(t)), Sv/Bq
Time, days	Whole Body (Th-234)	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract* (Th-234)	Skeleton* (Th-234)	Liver* (Th-234)
0.041667	2.6E-5	-	-	2.6E-5	4.7E-1	6.1E-1
0.083333	1.3E-5	-	-	1.3E-5	6.3E-2	1.2E-1
0.125	8.5E-6	-	-	8.6E-6	2.1E-2	5.6E-2
0.25	4.3E-6	-	-	4.3E-6	4.1E-3	1.9E-2
0.375	2.9E-6	-	-	2.9E-6	1.8E-3	1.1E-2
0.5	2.2E-6	-	-	2.2E-6	1.1E-3	8.2E-3
0.625	1.8E-6	-	-	1.9E-6	7.7E-4	6.4E-3
0.75	1.6E-6	-	-	1.6E-6	5.9E-4	5.2E-3
0.875	1.5E-6	-	-	1.5E-6	4.8E-4	4.4E-3
1	1.4E-6	2.4E-6	1.4E-7	1.4E-6	4.0E-4	3.8E-3
1.125	1.3E-6	-	-	1.4E-6	3.5E-4	3.4E-3
1.25	1.3E-6	-	-	1.3E-6	3.0E-4	3.0E-3
1.375	1.3E-6	-	-	1.4E-6	2.7E-4	2.7E-3
1.5	1.4E-6	-	-	1.4E-6	2.5E-4	2.5E-3
1.625	1.4E-6	-	-	1.5E-6	2.2E-4	2.3E-3
1.75	1.5E-6	-	-	1.5E-6	2.1E-4	2.1E-3
1.875	1.6E-6	-	-	1.7E-6	1.9E-4	2.0E-3
2	1.7E-6	4.3E-5	6.6E-8	1.8E-6	1.8E-4	1.8E-3
2.25	2.1E-6	-	-	2.1E-6	1.6E-4	1.6E-3
2.5	2.6E-6	-	-	2.7E-6	1.4E-4	1.5E-3
2.75	3.2E-6	-	-	3.4E-6	1.3E-4	1.3E-3
3	4.1E-6	8.3E-5	1.4E-7	4.4E-6	1.2E-4	1.2E-3
3.25	5.2E-6	-	-	5.8E-6	1.1E-4	1.1E-3
3.5	6.7E-6	-	-	7.7E-6	1.0E-4	1.1E-3
3.75	8.6E-6	-	-	1.0E-5	9.4E-5	1.0E-3
4	1.1E-5	9.2E-5	4.7E-7	1.4E-5	8.8E-5	9.4E-4
4.25	1.4E-5	-	-	2.0E-5	8.3E-5	8.9E-4
4.5	1.7E-5	-	-	2.8E-5	7.9E-5	8.5E-4
4.75	2.0E-5	-	-	4.0E-5	7.5E-5	8.1E-4
5	2.3E-5	1.0E-4	2.0E-6	5.6E-5	7.1E-5	7.8E-4
5.5	2.7E-5	-	-	1.2E-4	6.5E-5	7.2E-4
6	2.9E-5	1.1E-4	9.4E-6	2.4E-4	6.0E-5	6.7E-4
6.5	2.9E-5	-	-	5.1E-4	5.6E-5	6.3E-4
7	2.9E-5	1.2E-4	4.9E-5	1.0E-3	5.3E-5	6.0E-4
7.5	2.8E-5	-	-	2.0E-3	5.0E-5	5.7E-4
8	2.7E-5	1.3E-4	2.6E-4	3.4E-3	4.7E-5	5.4E-4
8.5	2.6E-5	-	-	4.9E-3	4.5E-5	5.2E-4
9	2.5E-5	1.5E-4	1.4E-3	6.0E-3	4.3E-5	5.0E-4
9.5	2.4E-5	-	-	6.7E-3	4.1E-5	4.9E-4
10	2.3E-5	1.6E-4	7.3E-3	7.1E-3	3.9E-5	4.7E-4
11	2.2E-5	1.7E-4	2.4E-2	7.3E-3	3.7E-5	4.5E-4
12	2.1E-5	1.9E-4	4.3E-2	7.4E-3	3.4E-5	4.3E-4
13	2.0E-5	2.0E-4	5.2E-2	7.4E-3	3.3E-5	4.1E-4
14	2.0E-5	2.2E-4	5.8E-2	7.4E-3	3.1E-5	4.0E-4
15	1.9E-5	2.4E-4	6.3E-2	7.4E-3	3.0E-5	3.8E-4
16	1.9E-5	2.6E-4	6.7E-2	7.5E-3	2.8E-5	3.8E-4
17	1.8E-5	2.8E-4	7.2E-2	7.5E-3	2.7E-5	3.7E-4
18	1.8E-5	3.0E-4	7.6E-2	7.6E-3	2.6E-5	3.6E-4
19	1.8E-5	3.2E-4	8.1E-2	7.7E-3	2.6E-5	3.6E-4
20	1.7E-5	3.4E-4	8.6E-2	7.7E-3	2.5E-5	3.5E-4
21	1.7E-5	3.7E-4	9.1E-2	7.8E-3	2.4E-5	3.5E-4
22	1.7E-5	3.9E-4	9.6E-2	7.9E-3	2.4E-5	3.5E-4
23	1.7E-5	4.2E-4	1.0E-1	8.0E-3	2.3E-5	3.4E-4
24	1.7E-5	4.5E-4	1.1E-1	8.1E-3	2.3E-5	3.4E-4
25	1.6E-5	4.8E-4	1.1E-1	8.1E-3	2.2E-5	3.4E-4
26	1.6E-5	5.1E-4	1.2E-1	8.2E-3	2.2E-5	3.4E-4
27	1.6E-5	5.4E-4	1.2E-1	8.3E-3	2.2E-5	3.4E-4
28	1.6E-5	5.7E-4	1.3E-1	8.4E-3	2.1E-5	3.4E-4
29	1.6E-5	6.0E-4	1.3E-1	8.5E-3	2.1E-5	3.4E-4
30	1.6E-5	6.3E-4	1.4E-1	8.6E-3	2.1E-5	3.4E-4
31	1.6E-5	6.7E-4	1.4E-1	8.8E-3	2.1E-5	3.4E-4
32	1.6E-5	7.0E-4	1.5E-1	8.9E-3	2.0E-5	3.5E-4
33	1.6E-5	7.4E-4	1.5E-1	9.0E-3	2.0E-5	3.5E-4
34	1.6E-5	7.8E-4	1.6E-1	9.1E-3	2.0E-5	3.5E-4
35	1.6E-5	8.1E-4	1.6E-1	9.2E-3	2.0E-5	3.5E-4
36	1.6E-5	8.5E-4	1.7E-1	9.3E-3	2.0E-5	3.5E-4
37	1.6E-5	8.9E-4	1.7E-1	9.5E-3	1.9E-5	3.6E-4
38	1.6E-5	9.3E-4	1.8E-1	9.6E-3	1.9E-5	3.6E-4
39	1.6E-5	9.7E-4	1.8E-1	9.7E-3	1.9E-5	3.6E-4
40	1.6E-5	1.0E-3	1.9E-1	9.9E-3	1.9E-5	3.6E-4
41	1.6E-5	1.1E-3	2.0E-1	1.0E-2	1.9E-5	3.7E-4
42	1.6E-5	1.1E-3	2.0E-1	1.0E-2	1.9E-5	3.7E-4
43	1.6E-5	1.1E-3	2.1E-1	1.0E-2	1.9E-5	3.7E-4
44	1.6E-5	1.2E-3	2.1E-1	1.0E-2	1.9E-5	3.8E-4
45	1.6E-5	1.2E-3	2.2E-1	1.1E-2	1.9E-5	3.8E-4
46	1.6E-5	1.3E-3	2.2E-1	1.1E-2	1.9E-5	3.8E-4
47	1.6E-5	1.3E-3	2.3E-1	1.1E-2	1.9E-5	3.9E-4
48	1.6E-5	1.4E-3	2.3E-1	1.1E-2	1.9E-5	3.9E-4
49	1.6E-5	1.4E-3	2.4E-1	1.1E-2	1.9E-5	4.0E-4
50	1.6E-5	1.4E-3	2.5E-1	1.1E-2	1.9E-5	4.0E-4
51	1.6E-5	1.5E-3	2.5E-1	1.2E-2	1.9E-5	4.0E-4
52	1.6E-5	1.5E-3	2.6E-1	1.2E-2	1.9E-5	4.1E-4
53	1.6E-5	1.6E-3	2.6E-1	1.2E-2	1.9E-5	4.1E-4
54	1.6E-5	1.6E-3	2.7E-1	1.2E-2	1.9E-5	4.2E-4
55	1.6E-5	1.7E-3	2.8E-1	1.2E-2	1.9E-5	4.2E-4
56	1.6E-5	1.7E-3	2.8E-1	1.2E-2	1.9E-5	4.2E-4
57	1.6E-5	1.8E-3	2.9E-1	1.3E-2	1.9E-5	4.3E-4
58	1.6E-5	1.8E-3	3.0E-1	1.3E-2	1.9E-5	4.3E-4
59	1.6E-5	1.9E-3	3.0E-1	1.3E-2	1.9E-5	4.4E-4
60	1.6E-5	1.9E-3	3.1E-1	1.3E-2	1.9E-5	4.4E-4
61	1.6E-5	2.0E-3	3.2E-1	1.3E-2	1.9E-5	4.5E-4
62	1.6E-5	2.0E-3	3.2E-1	1.4E-2	1.9E-5	4.5E-4
63	1.7E-5	2.1E-3	3.3E-1	1.4E-2	1.9E-5	4.6E-4
64	1.7E-5	2.1E-3	3.4E-1	1.4E-2	1.9E-5	4.6E-4
65	1.7E-5	2.2E-3	3.4E-1	1.4E-2	1.9E-5	4.7E-4
66	1.7E-5	2.2E-3	3.5E-1	1.5E-2	1.9E-5	4.7E-4
67	1.7E-5	2.3E-3	3.6E-1	1.5E-2	1.9E-5	4.8E-4
68	1.7E-5	2.3E-3	3.7E-1	1.5E-2	1.9E-5	4.8E-4
69	1.7E-5	2.4E-3	3.7E-1	1.5E-2	1.9E-5	4.9E-4
70	1.7E-5	2.4E-3	3.8E-1	1.5E-2	1.9E-5	4.9E-4
71	1.7E-5	2.5E-3	3.9E-1	1.6E-2	1.9E-5	5.0E-4
72	1.7E-5	2.5E-3	4.0E-1	1.6E-2	1.9E-5	5.0E-4
73	1.7E-5	2.6E-3	4.0E-1	1.6E-2	1.9E-5	5.1E-4
74	1.7E-5	2.6E-3	4.1E-1	1.6E-2	1.9E-5	5.1E-4
75	1.7E-5	2.7E-3	4.2E-1	1.7E-2	1.9E-5	5.2E-4
76	1.7E-5	2.8E-3	4.3E-1	1.7E-2	1.9E-5	5.2E-4
77	1.8E-5	2.8E-3	4.4E-1	1.7E-2	1.9E-5	5.3E-4
78	1.8E-5	2.9E-3	4.4E-1	1.7E-2	2.0E-5	5.3E-4
79	1.8E-5	2.9E-3	4.5E-1	1.8E-2	2.0E-5	5.4E-4
80	1.8E-5	3.0E-3	4.6E-1	1.8E-2	2.0E-5	5.4E-4
81	1.8E-5	3.1E-3	4.7E-1	1.8E-2	2.0E-5	5.5E-4
82	1.8E-5	3.1E-3	4.8E-1	1.9E-2	2.0E-5	5.5E-4
83	1.8E-5	3.2E-3	4.9E-1	1.9E-2	2.0E-5	5.6E-4
84	1.8E-5	3.2E-3	5.0E-1	1.9E-2	2.0E-5	5.6E-4
85	1.8E-5	3.3E-3	5.1E-1	1.9E-2	2.0E-5	5.7E-4
86	1.8E-5	3.4E-3	5.2E-1	2.0E-2	2.0E-5	5.7E-4
87	1.8E-5	3.4E-3	5.3E-1	2.0E-2	2.0E-5	5.8E-4
88	1.8E-5	3.5E-3	5.4E-1	2.0E-2	2.0E-5	5.8E-4
89	1.9E-5	3.6E-3	5.5E-1	2.1E-2	2.0E-5	5.9E-4
90	1.9E-5	3.6E-3	5.6E-1	2.1E-2	2.0E-5	5.9E-4
91	1.9E-5	3.7E-3	5.7E-1	2.1E-2	2.0E-5	6.0E-4
92	1.9E-5	3.8E-3	5.8E-1	2.1E-2	2.1E-5	6.0E-4
93	1.9E-5	3.8E-3	5.9E-1	2.2E-2	2.1E-5	6.1E-4
94	1.9E-5	3.9E-3	6.0E-1	2.2E-2	2.1E-5	6.2E-4
95	1.9E-5	4.0E-3	6.1E-1	2.2E-2	2.1E-5	6.2E-4
96	1.9E-5	4.0E-3	6.2E-1	2.3E-2	2.1E-5	6.3E-4
97	1.9E-5	4.1E-3	6.3E-1	2.3E-2	2.1E-5	6.3E-4
98	1.9E-5	4.2E-3	6.4E-1	2.3E-2	2.1E-5	6.4E-4
99	1.9E-5	4.3E-3	6.5E-1	2.4E-2	2.1E-5	6.4E-4
100	2.0E-5	4.3E-3	6.6E-1	2.4E-2	2.1E-5	6.5E-4
110	2.1E-5	5.1E-3	7.8E-1	2.7E-2	2.2E-5	7.0E-4
120	2.2E-5	6.0E-3	9.2E-1	3.1E-2	2.3E-5	7.4E-4
130	2.3E-5	7.0E-3	1.1E+0	3.5E-2	2.4E-5	7.9E-4
140	2.4E-5	8.2E-3	1.2E+0	3.8E-2	2.5E-5	8.3E-4
150	2.5E-5	9.4E-3	1.4E+0	4.2E-2	2.6E-5	8.6E-4
160	2.6E-5	1.1E-2	1.6E+0	4.5E-2	2.7E-5	8.9E-4
170	2.6E-5	1.2E-2	1.9E+0	4.9E-2	2.8E-5	9.1E-4
180	2.7E-5	1.4E-2	2.1E+0	5.1E-2	2.9E-5	9.4E-4
190	2.8E-5	1.6E-2	2.4E+0	5.4E-2	3.0E-5	9.5E-4
200	2.9E-5	1.8E-2	2.7E+0	5.6E-2	3.1E-5	9.7E-4
210	3.0E-5	2.0E-2	3.0E+0	5.8E-2	3.2E-5	9.8E-4
220	3.0E-5	2.2E-2	3.4E+0	6.0E-2	3.3E-5	9.9E-4
230	3.1E-5	2.5E-2	3.8E+0	6.1E-2	3.3E-5	1.0E-3
240	3.2E-5	2.8E-2	4.2E+0	6.3E-2	3.4E-5	1.0E-3
250	3.2E-5	3.1E-2	4.7E+0	6.4E-2	3.5E-5	1.0E-3
260	3.3E-5	3.4E-2	5.2E+0	6.5E-2	3.5E-5	1.0E-3
270	3.3E-5	3.8E-2	5.7E+0	6.5E-2	3.6E-5	1.0E-3
280	3.4E-5	4.1E-2	6.2E+0	6.6E-2	3.6E-5	1.0E-3
290	3.4E-5	4.5E-2	6.8E+0	6.7E-2	3.7E-5	1.0E-3
300	3.5E-5	4.9E-2	7.4E+0	6.7E-2	3.7E-5	1.0E-3
310	3.5E-5	5.3E-2	8.1E+0	6.8E-2	3.7E-5	1.0E-3
320	3.5E-5	5.8E-2	8.7E+0	6.8E-2	3.8E-5	1.0E-3
330	3.5E-5	6.2E-2	9.4E+0	6.8E-2	3.8E-5	1.0E-3
340	3.6E-5	6.7E-2	1.0E+1	6.9E-2	3.9E-5	1.1E-3
350	3.6E-5	7.2E-2	1.1E+1	6.9E-2	3.9E-5	1.1E-3
360	3.6E-5	7.6E-2	1.2E+1	6.9E-2	3.9E-5	1.1E-3
365	3.6E-5	7.9E-2	1.2E+1	6.9E-2	3.9E-5	1.1E-3
370	3.7E-5	8.1E-2	1.2E+1	6.9E-2	3.9E-5	1.1E-3
380	3.7E-5	8.6E-2	1.3E+1	6.9E-2	4.0E-5	1.1E-3
390	3.7E-5	9.1E-2	1.4E+1	6.9E-2	4.0E-5	1.1E-3
400	3.7E-5	9.5E-2	1.4E+1	7.0E-2	4.0E-5	1.1E-3
410	3.7E-5	1.0E-1	1.5E+1	7.0E-2	4.0E-5	1.1E-3
420	3.7E-5	1.0E-1	1.6E+1	7.0E-2	4.0E-5	1.1E-3
430	3.8E-5	1.1E-1	1.6E+1	7.0E-2	4.1E-5	1.1E-3
440	3.8E-5	1.1E-1	1.7E+1	7.0E-2	4.1E-5	1.1E-3
450	3.8E-5	1.2E-1	1.7E+1	7.0E-2	4.1E-5	1.1E-3
460	3.8E-5	1.2E-1	1.8E+1	7.0E-2	4.1E-5	1.1E-3
470	3.8E-5	1.2E-1	1.9E+1	7.0E-2	4.1E-5	1.1E-3
480	3.8E-5	1.3E-1	1.9E+1	7.0E-2	4.1E-5	1.1E-3
490	3.8E-5	1.3E-1	2.0E+1	7.0E-2	4.2E-5	1.1E-3
500	3.9E-5	1.3E-1	2.0E+1	7.0E-2	4.2E-5	1.1E-3
510	3.9E-5	1.4E-1	2.0E+1	7.0E-2	4.2E-5	1.1E-3
520	3.9E-5	1.4E-1	2.1E+1	7.0E-2	4.2E-5	1.1E-3
530	3.9E-5	1.4E-1	2.1E+1	7.1E-2	4.2E-5	1.1E-3
540	3.9E-5	1.4E-1	2.1E+1	7.1E-2	4.2E-5	1.1E-3
550	3.9E-5	1.4E-1	2.2E+1	7.1E-2	4.2E-5	1.1E-3
560	3.9E-5	1.5E-1	2.2E+1	7.1E-2	4.2E-5	1.1E-3
570	3.9E-5	1.5E-1	2.2E+1	7.1E-2	4.3E-5	1.1E-3
580	4.0E-5	1.5E-1	2.3E+1	7.1E-2	4.3E-5	1.1E-3
590	4.0E-5	1.5E-1	2.3E+1	7.1E-2	4.3E-5	1.1E-3
600	4.0E-5	1.5E-1	2.3E+1	7.1E-2	4.3E-5	1.1E-3
610	4.0E-5	1.5E-1	2.3E+1	7.1E-2	4.3E-5	1.1E-3
620	4.0E-5	1.6E-1	2.4E+1	7.1E-2	4.3E-5	1.1E-3
630	4.0E-5	1.6E-1	2.4E+1	7.1E-2	4.3E-5	1.1E-3
640	4.0E-5	1.6E-1	2.4E+1	7.1E-2	4.3E-5	1.1E-3
650	4.0E-5	1.6E-1	2.4E+1	7.1E-2	4.4E-5	1.1E-3
660	4.0E-5	1.6E-1	2.4E+1	7.1E-2	4.4E-5	1.1E-3
670	4.1E-5	1.6E-1	2.4E+1	7.1E-2	4.4E-5	1.1E-3
680	4.1E-5	1.6E-1	2.5E+1	7.1E-2	4.4E-5	1.1E-3
690	4.1E-5	1.6E-1	2.5E+1	7.1E-2	4.4E-5	1.1E-3
700	4.1E-5	1.7E-1	2.5E+1	7.1E-2	4.4E-5	1.1E-3
710	4.1E-5	1.7E-1	2.5E+1	7.1E-2	4.4E-5	1.1E-3
720	4.1E-5	1.7E-1	2.5E+1	7.1E-2	4.4E-5	1.1E-3
730	4.1E-5	1.7E-1	2.5E+1	7.1E-2	4.5E-5	1.1E-3
740	4.1E-5	1.7E-1	2.5E+1	7.1E-2	4.5E-5	1.1E-3
750	4.1E-5	1.7E-1	2.6E+1	7.1E-2	4.5E-5	1.1E-3
760	4.1E-5	1.7E-1	2.6E+1	7.1E-2	4.5E-5	1.1E-3
770	4.2E-5	1.7E-1	2.6E+1	7.1E-2	4.5E-5	1.1E-3
780	4.2E-5	1.7E-1	2.6E+1	7.1E-2	4.5E-5	1.1E-3
790	4.2E-5	1.7E-1	2.6E+1	7.1E-2	4.5E-5	1.1E-3
800	4.2E-5	1.7E-1	2.6E+1	7.1E-2	4.5E-5	1.1E-3
810	4.2E-5	1.7E-1	2.6E+1	7.1E-2	4.5E-5	1.1E-3
820	4.2E-5	1.8E-1	2.6E+1	7.1E-2	4.6E-5	1.1E-3
830	4.2E-5	1.8E-1	2.7E+1	7.1E-2	4.6E-5	1.1E-3
840	4.2E-5	1.8E-1	2.7E+1	7.2E-2	4.6E-5	1.1E-3
850	4.2E-5	1.8E-1	2.7E+1	7.2E-2	4.6E-5	1.1E-3
860	4.2E-5	1.8E-1	2.7E+1	7.2E-2	4.6E-5	1.2E-3
870	4.3E-5	1.8E-1	2.7E+1	7.2E-2	4.6E-5	1.2E-3
880	4.3E-5	1.8E-1	2.7E+1	7.2E-2	4.6E-5	1.2E-3
890	4.3E-5	1.8E-1	2.7E+1	7.2E-2	4.6E-5	1.2E-3
900	4.3E-5	1.8E-1	2.7E+1	7.2E-2	4.6E-5	1.2E-3
910	4.3E-5	1.8E-1	2.7E+1	7.2E-2	4.7E-5	1.2E-3
920	4.3E-5	1.8E-1	2.8E+1	7.2E-2	4.7E-5	1.2E-3
930	4.3E-5	1.8E-1	2.8E+1	7.2E-2	4.7E-5	1.2E-3
940	4.3E-5	1.8E-1	2.8E+1	7.2E-2	4.7E-5	1.2E-3
950	4.3E-5	1.9E-1	2.8E+1	7.2E-2	4.7E-5	1.2E-3
960	4.4E-5	1.9E-1	2.8E+1	7.2E-2	4.7E-5	1.2E-3
970	4.4E-5	1.9E-1	2.8E+1	7.2E-2	4.7E-5	1.2E-3
980	4.4E-5	1.9E-1	2.8E+1	7.2E-2	4.7E-5	1.2E-3
990	4.4E-5	1.9E-1	2.8E+1	7.2E-2	4.8E-5	1.2E-3
1000	4.4E-5	1.9E-1	2.9E+1	7.2E-2	4.8E-5	1.2E-3
1010	4.4E-5	1.9E-1	2.9E+1	7.2E-2	4.8E-5	1.2E-3
1020	4.4E-5	1.9E-1	2.9E+1	7.2E-2	4.8E-5	1.2E-3
1030	4.4E-5	1.9E-1	2.9E+1	7.2E-2	4.8E-5	1.2E-3
1040	4.4E-5	1.9E-1	2.9E+1	7.2E-2	4.8E-5	1.2E-3
1050	4.4E-5	1.9E-1	2.9E+1	7.2E-2	4.8E-5	1.2E-3
1060	4.5E-5	1.9E-1	2.9E+1	7.2E-2	4.8E-5	1.2E-3
1070	4.5E-5	1.9E-1	2.9E+1	7.2E-2	4.8E-5	1.2E-3
1080	4.5E-5	2.0E-1	2.9E+1	7.2E-2	4.9E-5	1.2E-3
1090	4.5E-5	2.0E-1	3.0E+1	7.2E-2	4.9E-5	1.2E-3
1095	4.5E-5	2.0E-1	3.0E+1	7.2E-2	4.9E-5	1.2E-3
1100	4.5E-5	2.0E-1	3.0E+1	7.2E-2	4.9E-5	1.2E-3
1200	4.6E-5	2.1E-1	3.1E+1	7.2E-2	5.0E-5	1.2E-3
1300	4.7E-5	2.1E-1	3.2E+1	7.3E-2	5.1E-5	1.2E-3
1400	4.8E-5	2.2E-1	3.3E+1	7.3E-2	5.2E-5	1.3E-3
1500	4.9E-5	2.3E-1	3.5E+1	7.3E-2	5.4E-5	1.3E-3
1600	5.0E-5	2.4E-1	3.6E+1	7.3E-2	5.5E-5	1.3E-3
1700	5.1E-5	2.5E-1	3.8E+1	7.4E-2	5.6E-5	1.3E-3
1800	5.2E-5	2.6E-1	3.9E+1	7.4E-2	5.7E-5	1.3E-3
1900	5.3E-5	2.7E-1	4.1E+1	7.4E-2	5.8E-5	1.4E-3
2000	5.5E-5	2.8E-1	4.2E+1	7.4E-2	6.0E-5	1.4E-3
2100	5.6E-5	2.9E-1	4.4E+1	7.5E-2	6.1E-5	1.4E-3
2200	5.7E-5	3.0E-1	4.5E+1	7.5E-2	6.2E-5	1.4E-3
2300	5.8E-5	3.1E-1	4.7E+1	7.5E-2	6.3E-5	1.4E-3
2400	5.9E-5	3.2E-1	4.9E+1	7.5E-2	6.4E-5	1.5E-3
2500	6.0E-5	3.4E-1	5.1E+1	7.5E-2	6.6E-5	1.5E-3
2600	6.1E-5	3.5E-1	5.3E+1	7.6E-2	6.7E-5	1.5E-3
2700	6.2E-5	3.6E-1	5.4E+1	7.6E-2	6.8E-5	1.5E-3
2800	6.3E-5	3.7E-1	5.6E+1	7.6E-2	6.9E-5	1.6E-3
2900	6.4E-5	3.9E-1	5.8E+1	7.6E-2	7.1E-5	1.6E-3
3000	6.5E-5	4.0E-1	6.0E+1	7.6E-2	7.2E-5	1.6E-3
3100	6.7E-5	4.2E-1	6.3E+1	7.7E-2	7.3E-5	1.6E-3
3200	6.8E-5	4.3E-1	6.5E+1	7.7E-2	7.4E-5	1.7E-3
3300	6.9E-5	4.4E-1	6.7E+1	7.7E-2	7.5E-5	1.7E-3
3400	7.0E-5	4.6E-1	6.9E+1	7.7E-2	7.7E-5	1.7E-3
3500	7.1E-5	4.7E-1	7.1E+1	7.7E-2	7.8E-5	1.7E-3
3600	7.2E-5	4.9E-1	7.4E+1	7.8E-2	7.9E-5	1.8E-3
3650	7.2E-5	5.0E-1	7.5E+1	7.8E-2	8.0E-5	1.8E-3
4000	7.6E-5	5.6E-1	8.4E+1	7.8E-2	8.4E-5	1.9E-3
5000	8.7E-5	7.4E-1	1.1E+2	8.0E-2	9.6E-5	2.2E-3
6000	9.7E-5	9.5E-1	1.4E+2	8.2E-2	1.1E-4	2.5E-3
7000	1.1E-4	1.2E+0	1.8E+2	8.3E-2	1.2E-4	2.9E-3
8000	1.2E-4	1.4E+0	2.1E+2	8.5E-2	1.3E-4	3.3E-3
9000	1.3E-4	1.6E+0	2.5E+2	8.7E-2	1.4E-4	3.7E-3
10000	1.4E-4	1.9E+0	2.8E+2	8.8E-2	1.5E-4	4.2E-3
11000	1.5E-4	2.1E+0	-	9.0E-2	1.6E-4	4.7E-3
12000	1.6E-4	2.3E+0	-	9.2E-2	1.7E-4	5.3E-3
13000	1.7E-4	2.6E+0	-	9.4E-2	1.9E-4	5.8E-3
14000	1.8E-4	2.8E+0	-	9.5E-2	2.0E-4	6.4E-3
15000	1.9E-4	3.1E+0	-	9.7E-2	2.1E-4	6.9E-3
16000	2.0E-4	3.3E+0	-	9.9E-2	2.3E-4	7.5E-3
17000	2.1E-4	3.6E+0	-	1.0E-1	2.4E-4	8.0E-3
18000	2.3E-4	3.9E+0	-	1.0E-1	2.6E-4	8.6E-3
18250	2.3E-4	4.0E+0	-	1.0E-1	2.6E-4	8.7E-3
Radionuclide	U-238
Route of Intake	Ingestion
Material	Relatively insoluble forms, fA=2E-3
AMTD/AMAD, µm	-

Committed Effective Dose per Predicted Content in an Organ or Excreta Sample (Dose per Content Functions z(t)), Sv/Bq
Time, days	Whole Body (Th-234)	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract* (Th-234)	Skeleton* (Th-234)	Liver* (Th-234)
0.041667	2.6E-6	-	-	2.6E-6	3.6E-1	4.1E-1
0.083333	1.3E-6	-	-	1.3E-6	5.0E-2	8.0E-2
0.125	8.6E-7	-	-	8.6E-7	1.7E-2	3.6E-2
0.25	4.3E-7	-	-	4.3E-7	3.3E-3	1.2E-2
0.375	2.9E-7	-	-	2.9E-7	1.5E-3	7.6E-3
0.5	2.2E-7	-	-	2.2E-7	9.2E-4	5.9E-3
0.625	1.8E-7	-	-	1.8E-7	6.5E-4	4.9E-3
0.75	1.6E-7	-	-	1.6E-7	5.1E-4	4.2E-3
0.875	1.5E-7	-	-	1.5E-7	4.1E-4	3.7E-3
1	1.4E-7	2.5E-6	1.4E-8	1.4E-7	3.5E-4	3.3E-3
1.125	1.3E-7	-	-	1.3E-7	3.1E-4	3.0E-3
1.25	1.3E-7	-	-	1.3E-7	2.7E-4	2.7E-3
1.375	1.3E-7	-	-	1.3E-7	2.5E-4	2.5E-3
1.5	1.4E-7	-	-	1.4E-7	2.2E-4	2.3E-3
1.625	1.4E-7	-	-	1.4E-7	2.1E-4	2.1E-3
1.75	1.5E-7	-	-	1.5E-7	1.9E-4	2.0E-3
1.875	1.6E-7	-	-	1.6E-7	1.8E-4	1.8E-3
2	1.8E-7	4.3E-5	6.5E-9	1.8E-7	1.7E-4	1.7E-3
2.25	2.1E-7	-	-	2.1E-7	1.5E-4	1.5E-3
2.5	2.6E-7	-	-	2.6E-7	1.3E-4	1.4E-3
2.75	3.3E-7	-	-	3.3E-7	1.2E-4	1.3E-3
3	4.3E-7	8.3E-5	1.4E-8	4.3E-7	1.1E-4	1.2E-3
3.25	5.6E-7	-	-	5.7E-7	1.0E-4	1.1E-3
3.5	7.5E-7	-	-	7.6E-7	9.6E-5	1.0E-3
3.75	1.0E-6	-	-	1.0E-6	9.0E-5	9.7E-4
4	1.4E-6	9.3E-5	4.6E-8	1.4E-6	8.5E-5	9.2E-4
4.25	1.9E-6	-	-	2.0E-6	8.0E-5	8.7E-4
4.5	2.6E-6	-	-	2.8E-6	7.6E-5	8.3E-4
4.75	3.5E-6	-	-	3.9E-6	7.3E-5	7.9E-4
5	4.8E-6	1.0E-4	1.9E-7	5.6E-6	6.9E-5	7.6E-4
5.5	8.6E-6	-	-	1.2E-5	6.4E-5	7.1E-4
6	1.4E-5	1.1E-4	9.3E-7	2.5E-5	5.9E-5	6.6E-4
6.5	1.9E-5	-	-	5.3E-5	5.5E-5	6.2E-4
7	2.3E-5	1.2E-4	4.8E-6	1.2E-4	5.2E-5	5.9E-4
7.5	2.5E-5	-	-	2.5E-4	4.9E-5	5.6E-4
8	2.5E-5	1.3E-4	2.6E-5	5.5E-4	4.6E-5	5.4E-4
8.5	2.5E-5	-	-	1.1E-3	4.4E-5	5.2E-4
9	2.4E-5	1.5E-4	1.5E-4	2.2E-3	4.2E-5	5.0E-4
9.5	2.4E-5	-	-	3.7E-3	4.0E-5	4.8E-4
10	2.3E-5	1.6E-4	8.4E-4	5.1E-3	3.9E-5	4.7E-4
11	2.2E-5	1.7E-4	4.6E-3	6.8E-3	3.6E-5	4.4E-4
12	2.1E-5	1.9E-4	1.9E-2	7.2E-3	3.4E-5	4.2E-4
13	2.0E-5	2.1E-4	4.2E-2	7.3E-3	3.2E-5	4.1E-4
14	2.0E-5	2.2E-4	5.6E-2	7.4E-3	3.1E-5	3.9E-4
15	1.9E-5	2.4E-4	6.2E-2	7.4E-3	2.9E-5	3.8E-4
16	1.9E-5	2.6E-4	6.7E-2	7.4E-3	2.8E-5	3.7E-4
